Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-08-25,170.559998,171.059998,170.440002,170.619995,140.625717,2588500,336.00
2014-08-26,170.820007,171.350006,170.779999,170.929993,140.881256,3581400,337.00
2014-08-27,171.149994,171.210007,170.75,171.009995,140.947128,5162400,338.00
2014-08-28,170.399994,170.880005,170.100006,170.770004,140.749329,2781900,339.00
2014-08-29,170.899994,171,170.25,170.880005,140.840042,3280300,340.00
2014-09-02,170.940002,171.070007,170.039993,170.580002,140.592728,3458700,344.00
2014-09-03,171.380005,171.479996,170.529999,170.720001,140.708191,2847400,345.00
2014-09-04,170.910004,171.559998,170.220001,170.660004,140.658661,3760900,346.00
2014-09-05,170.520004,171.289993,170.009995,171.25,141.144943,3403600,347.00
2014-09-08,171.039993,171.350006,170.75,171.059998,140.988373,3139800,350.00
2014-09-09,170.789993,170.839996,169.889999,170.119995,140.213684,4252400,351.00
2014-09-10,170.169998,170.809998,169.710007,170.669998,140.666992,4595400,352.00
2014-09-11,169.889999,170.619995,169.820007,170.509995,140.53508,3026200,353.00
2014-09-12,170.380005,170.440002,169.399994,169.899994,140.032349,5000800,354.00
2014-09-15,170.059998,170.570007,169.550003,170.320007,140.378525,5130700,357.00
2014-09-16,169.960007,171.710007,169.889999,171.380005,141.252136,5946400,358.00
2014-09-17,171.570007,172.25,170.929993,171.580002,141.417007,8498600,359.00
2014-09-18,172.009995,172.800003,171.899994,172.610001,142.265991,6458100,360.00
2014-09-19,173,173.320007,172.190002,172.449997,142.474976,9341000,361.00
2014-09-22,172.350006,172.380005,171.220001,171.410004,141.615723,4894200,364.00
2014-09-23,170.850006,171.380005,170.210007,170.210007,140.624359,5521800,365.00
2014-09-24,170.360001,171.899994,169.979996,171.789993,141.929611,5813000,366.00
2014-09-25,171.5,171.529999,169.089996,169.169998,139.76506,8910500,367.00
2014-09-26,169.789993,171.130005,169.5,170.699997,141.02916,6062200,368.00
2014-09-29,169.179993,170.580002,168.940002,170.330002,140.723434,5167800,371.00
2014-09-30,170.449997,171.100006,169.800003,170.070007,140.50856,5492800,372.00
2014-10-01,169.910004,169.979996,167.419998,167.679993,138.533997,11030600,373.00
2014-10-02,167.389999,168.270004,166.429993,167.649994,138.509323,9093700,374.00
2014-10-03,168.889999,169.970001,168.369995,169.720001,140.219482,5589100,375.00
2014-10-06,170.440002,170.690002,168.960007,169.570007,140.095459,5315300,378.00
2014-10-07,168.729996,168.940002,166.860001,166.860001,137.856583,7128800,379.00
2014-10-08,166.869995,169.820007,166.350006,169.619995,140.136841,8893200,380.00
2014-10-09,169.160004,169.479996,166.199997,166.339996,137.427032,13387300,381.00
2014-10-10,166.389999,167.360001,165.210007,165.210007,136.493439,12717500,382.00
2014-10-13,165.089996,165.789993,162.839996,162.929993,134.609711,14117000,385.00
2014-10-14,163.669998,164.410004,162.5,163.029999,134.692291,13626400,386.00
2014-10-15,161.190002,161.850006,158.270004,161.279999,133.246475,24966700,387.00
2014-10-16,159,161.949997,158.729996,160.979996,132.998611,18926600,388.00
